election,election_date,locality,precinct,Early Voting,Provisional,Election Day,Mailed Absentee,Post-Election,TotalVoteTurnout,ActiveRegisteredVoters,InactiveRegisteredVoters,TotalRegisteredVoters,% (totalTurnout_Active)
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,313 - UNION CHAPEL,31,5,242,44,3,325,1410,147,1557,23%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,402 - BERKLEY,80,3,477,79,3,642,2000,144,2144,32%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,404 - CAMPOSTELLA,74,9,430,85,8,606,2457,234,2691,25%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,405 - CHESTERFIELD,111,21,497,95,9,733,2582,392,2974,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,406 - BARRON BLACK,64,8,479,84,9,644,1820,143,1963,35%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,408 - CALVARY REVIVAL CHURCH,104,5,486,151,23,769,2788,236,3024,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,409 - FAIRLAWN,43,7,426,105,12,593,1983,191,2174,30%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,411 - RUFFNER ACADEMY,42,8,163,34,1,248,1361,299,1660,18%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,412 - INGLESIDE,106,7,555,113,12,793,2117,197,2314,37%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,413 - POPLAR HALLS,190,14,717,198,20,1139,3465,445,3910,33%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,414 - YOUNG PARK,88,7,377,109,6,587,2684,306,2990,22%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,415 - LAKE TAYLOR HIGH SCHOOL,89,8,494,97,8,696,2491,248,2739,28%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,501 - BAYVIEW,237,8,848,163,13,1269,3085,335,3420,41%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,503 - EAST OCEAN VIEW,406,25,931,296,10,1668,3678,449,4127,45%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,504 - LARRYMORE,101,10,675,121,16,923,2317,217,2534,40%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,505 - LITTLE CREEK,94,6,600,91,6,797,1977,166,2143,40%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,506 - OCEAN VIEW GOLF COURSE,287,16,797,164,21,1285,3837,472,4309,33%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,507 - PRETLOW,290,11,632,127,20,1080,2943,437,3380,37%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,509 - TARRALLTON,139,8,847,172,14,1180,2832,284,3116,42%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,510 - THIRD PRESBYTERIAN,180,7,930,138,16,1271,2920,246,3166,44%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,511 - CROSSROADS,179,4,729,99,35,1046,2884,273,3157,36%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,512 - AZALEA GARDENS,107,4,535,88,16,750,1640,174,1814,46%
2023 November General and Special Elections,11/7/2023 0:00,NORFOLK CITY,NORFOLK CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,101 - PRECINCT 1-1,301,7,658,114,6,1086,2139,148,2287,51%
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,201 - PRECINCT 2-1,206,3,434,85,1,729,1844,108,1952,40%
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,301 - PRECINCT 3-1,156,1,412,83,7,659,1689,126,1815,39%
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,401 - PRECINCT 4-1,399,3,474,62,5,943,1880,86,1966,50%
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,501 - PRECINCT 5-1,149,1,433,82,4,669,1698,117,1815,39%
2023 November General and Special Elections,11/7/2023 0:00,NORTHAMPTON COUNTY,NORTHAMPTON COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,101 - 1A,262,,622,38,3,925,1757,97,1854,53%
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,201 - 2A,365,8,594,43,3,1013,1873,120,1993,54%
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,301 - 3A,252,4,445,51,,752,1795,131,1926,42%
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,401 - 4A,358,1,866,82,2,1309,2140,139,2279,61%
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,501 - 5A,379,6,941,74,1,1401,2251,154,2405,62%
2023 November General and Special Elections,11/7/2023 0:00,NORTHUMBERLAND COUNTY,NORTHUMBERLAND COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NORTON CITY,001 - EAST WARD,89,6,298,52,2,447,2414,183,2597,19%
2023 November General and Special Elections,11/7/2023 0:00,NORTON CITY,NORTON CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,101 - PRECINCT 1-1,205,12,459,53,2,731,1550,54,1604,47%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,201 - PRECINCT 2-1,253,3,600,31,,887,2000,99,2099,44%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,301 - PRECINCT 3-1,185,2,395,35,,617,1462,63,1525,42%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,302 - PRECINCT 3-2,76,,140,11,,227,431,15,446,53%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,401 - PRECINCT 4-1,90,2,277,25,1,395,1115,84,1199,35%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,402 - PRECINCT 4-2,34,1,330,10,,375,741,28,769,51%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,501 - PRECINCT 5-1,219,4,637,28,1,889,1923,105,2028,46%
2023 November General and Special Elections,11/7/2023 0:00,NOTTOWAY COUNTY,NOTTOWAY COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,101 - ONE WEST,274,3,968,99,4,1348,2508,99,2607,54%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,102 - ONE EAST,222,6,700,35,5,968,1884,62,1946,51%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,103 - ONE TOWN,81,2,321,26,2,432,1038,52,1090,42%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,201 - TWO WEST,317,5,782,79,5,1188,2480,90,2570,48%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,202 - TWO EAST,222,10,1081,88,2,1403,2968,136,3104,47%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,301 - THREE WEST,139,,198,31,1,369,567,28,595,65%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,302 - THREE EAST,158,4,507,31,3,703,1470,68,1538,48%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,303 - THREE TOWN,382,8,803,109,3,1305,2865,231,3096,46%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,401 - FOUR WEST,155,6,1026,80,3,1270,2941,168,3109,43%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,402 - FOUR EAST,97,15,749,72,6,939,2496,169,2665,38%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,501 - FIVE SOUTH,200,13,1105,148,7,1473,2851,174,3025,52%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,502 - FIVE NORTH,306,6,1308,214,2,1836,3301,179,3480,56%
2023 November General and Special Elections,11/7/2023 0:00,ORANGE COUNTY,ORANGE COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,101 - WEST LURAY,448,10,1139,121,,1718,3265,149,3414,53%
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,201 - EAST LURAY,477,9,1323,80,1,1890,3369,168,3537,56%
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,301 - MARKSVILLE,409,9,1615,90,,2123,3686,142,3828,58%
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,401 - NEWPORT,291,11,1263,83,1,1649,3052,109,3161,54%
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,501 - SHENANDOAH,111,5,1445,75,,1636,3179,125,3304,51%
2023 November General and Special Elections,11/7/2023 0:00,PAGE COUNTY,PAGE COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,101 - ARARAT,22,,213,10,,245,862,34,896,28%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,102 - CLAUDVILLE,34,3,232,18,1,288,753,19,772,38%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,103 - WILLIS GAP,4,,234,19,,257,880,33,913,29%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,201 - DRY POND,43,,200,6,,249,609,21,630,41%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,202 - PATRICK SPRINGS,87,1,353,21,,462,1018,30,1048,45%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,203 - RUSSELL CREEK,92,,308,20,3,423,951,41,992,44%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,301 - CRITZ/STELLA,116,,455,33,1,605,1652,69,1721,37%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,302 - LIBERTY,55,,300,10,2,367,900,26,926,41%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,401 - MEADOWS OF DAN,25,,386,41,1,453,987,34,1021,46%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,402 - STUART FAIRGROUNDS,99,2,177,25,,303,764,53,817,40%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,403 - STUART COMMUNITY,62,,197,8,,267,580,28,608,46%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,502 - ELAMSVILLE,61,1,365,28,1,456,1255,37,1292,36%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,503 - WOOLWINE,95,,476,36,2,609,1242,35,1277,49%
2023 November General and Special Elections,11/7/2023 0:00,PATRICK COUNTY,PATRICK COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,101 - FIRST WARD FIRST PRECINCT,229,6,415,172,9,831,2609,488,3097,32%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,201 - SECOND WARD FIRST PRECINCT,254,22,749,192,13,1230,3026,549,3575,41%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,301 - THIRD WARD FIRST PRECINCT,462,14,816,262,13,1567,3335,350,3685,47%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,401 - FOURTH WARD FIRST PRECINCT,328,16,499,186,9,1038,2737,514,3251,38%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,501 - FIFTH WARD FIRST PRECINCT,264,14,412,159,8,857,2781,473,3254,31%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,601 - SIXTH WARD FIRST PRECINCT,235,7,432,201,6,881,2965,500,3465,30%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,701 - SEVENTH WARD FIRST PRECINCT,341,14,627,208,7,1197,3096,421,3517,39%
2023 November General and Special Elections,11/7/2023 0:00,PETERSBURG CITY,PETERSBURG CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,103 - TWIN SPRINGS,195,9,1094,101,1,1400,3261,132,3393,43%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,105 - CHATHAM,168,3,275,26,,472,984,93,1077,48%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,106 - TUNSTALL,92,1,454,48,3,598,1464,75,1539,41%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,108 - WEST BLAIRS,43,5,305,20,1,374,858,41,899,44%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,201 - CALLANDS,43,1,442,22,1,509,1252,52,1304,41%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,202- BEARSKIN,39,2,213,25,,279,839,41,880,33%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,204 - SANDY LEVEL,22,,266,22,2,312,902,33,935,35%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,206 - CLIMAX,81,1,254,15,3,354,935,31,966,38%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,207 - GRETNA,94,2,634,40,,770,2108,110,2218,37%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,301 - CENTRAL,152,,352,52,1,557,1425,82,1507,39%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,305 - RICEVILLE,56,1,354,41,4,456,1062,44,1106,43%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,307 - EAST BLAIRS,74,5,438,49,3,569,1745,120,1865,33%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,308 - MT AIRY,39,3,303,26,1,372,957,41,998,39%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,309 - EAST GRETNA,25,1,246,11,1,284,751,47,798,38%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,402 - KEELING,43,2,421,21,,487,1320,46,1366,37%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,404 - KENTUCK,88,3,803,53,5,952,2395,111,2506,40%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,405 - RINGGOLD,70,4,922,45,3,1044,2745,120,2865,38%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,501 - HURT,78,3,743,46,2,872,2285,93,2378,38%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,502 - MOTLEY SYCAMORE,112,6,819,58,,995,2710,94,2804,37%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,503 - RENAN,24,2,295,18,,339,945,23,968,36%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,603 - STONY MILL,67,3,626,30,,726,1705,76,1781,43%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,604 - SWANSONVILLE,24,,320,27,1,372,948,45,993,39%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,605 - WHITMELL,35,1,508,34,3,581,1310,67,1377,44%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,606 - BROSVILLE,10,,518,15,,543,1442,77,1519,38%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,607 - DRY FORK,37,,199,10,2,248,582,20,602,43%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,702 - BACHELORS HALL,49,,634,34,5,722,1695,100,1795,43%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,703 - FERRY ROAD,2,,142,6,1,151,405,45,450,37%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,704 - MT HERMON,156,5,714,75,3,953,2653,118,2771,36%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,705 - MT CROSS,42,1,421,18,2,484,1309,82,1391,37%
2023 November General and Special Elections,11/7/2023 0:00,PITTSYLVANIA COUNTY,PITTSYLVANIA COUNTY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,POQUOSON CITY,001 - CENTRAL,632,19,937,104,7,1699,2956,174,3130,57%
2023 November General and Special Elections,11/7/2023 0:00,POQUOSON CITY,002 - EASTERN,584,11,1028,93,12,1728,3119,167,3286,55%
2023 November General and Special Elections,11/7/2023 0:00,POQUOSON CITY,003 - WESTERN,759,25,1114,139,8,2045,3052,145,3197,67%
2023 November General and Special Elections,11/7/2023 0:00,POQUOSON CITY,POQUOSON CITY PROVISIONALS,,,,,,,,,,#DIV/0!
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,001 - EMANUEL A. M. E. CHURCH ,195,11,549,71,1,827,2476,449,2925,33%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,005 - CHARLES A. FISHER MEMORIAL ACADEMY,90,4,224,68,,386,1575,204,1779,25%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,007- PARK VIEW ELEMENTARY SCHOOL,91,5,393,46,2,537,1522,224,1746,35%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,009 - THIRD BAPTIST CHURCH,128,8,445,89,1,671,2188,226,2414,31%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,010 - MOUNT HERMON PRESCHOOL CENTER,42,2,276,38,3,361,1186,134,1320,30%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,011 - JOSEPH E. PARKER RECREATION CENTER,97,7,299,48,1,452,1521,199,1720,30%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,013 - ST. MARK MISSIONARY BAPTIST CHURCH,45,3,155,33,,236,1354,178,1532,17%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,014 - BRIGHTON ELEMENTARY SCHOOL,109,3,337,84,6,539,2018,225,2243,27%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,016 - CRADOCK MIDDLE SCHOOL,47,1,350,52,4,454,2127,307,2434,21%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,017 - VICTORY LIFE FELLOWSHIP,88,6,436,73,4,607,2516,348,2864,24%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,019 - VICTORY ELEMENTARY SCHOOL,44,2,255,32,,333,1142,106,1248,29%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,020 - NOBLE STREET BAPTIST CHURCH,97,6,436,53,1,593,2015,235,2250,29%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,021 - HENDRICKS/KENDALL RECREATION CENTER,82,4,227,60,2,375,1170,208,1378,32%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,022 - ST. MARK DELIVERANCE CENTER,58,8,422,59,3,550,2042,204,2246,27%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,023 - WESTHAVEN BAPTIST CHURCH,39,7,515,49,4,614,1740,141,1881,35%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,024 - THE SENIOR STATION,71,8,382,52,2,515,1488,178,1666,35%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,025 - WATERVIEW ELEMENTARY SCHOOL,89,10,582,61,,742,1826,205,2031,41%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,026 - WILLIAM E. WATERS MIDDLE SCHOOL,112,6,498,124,4,744,1865,144,2009,40%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,027 - CAVALIER MANOR RECREATION CENTER,114,7,393,128,3,645,1795,135,1930,36%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,028 - LAKEVIEW ELEMENTARY SCHOOL,234,9,717,220,4,1184,2403,125,2528,49%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,029 - MANOR HIGH SCHOOL,43,2,386,38,1,470,1233,106,1339,38%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,030 - THE RESCUE CHURCH,29,3,471,33,,536,1688,145,1833,32%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,031 - WEST PARK CHURCH OF CHRIST ,69,8,611,97,2,787,2739,356,3095,29%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,032 - HODGES MANOR ELEMENTARY SCHOOL ,78,6,508,71,2,665,1405,82,1487,47%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,033- PINECREST BAPTIST CHURCH,50,3,480,31,,564,1179,94,1273,48%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,034- CHURCHLAND BRANCH LIBRARY,95,7,604,86,5,797,1686,116,1802,47%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,035 - CHURCHLAND ELEMENTARY SCHOOL,93,15,723,68,5,904,2164,125,2289,42%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,036 - CHURCHLAND HIGH SCHOOL,344,11,1090,317,6,1768,3729,368,4097,47%
2023 November General and Special Elections,11/7/2023 0:00,PORTSMOUTH CITY,037 - CHURCHLAND MIDDLE SCHOOL,203,12,852,186,10,1263,3153,346,3499,40%
